stars,text
1,"It was my first time boarding my dogs of 6yrs. I was very nervous and saw that they have great reviews but I was unsure. The staff seemed very pleasant.  I came to drop my dogs off and asked to see where they would be kept. I was met with a  bit of hesitation despite it being an option.. They took me back through the \""Bahamas' room which they said to put them in, I was very uncomfortable walking through, dogs looked dirty and were going crazy. It had the feel and appeal of a humane society. They thankfully took me through to a quieter room \""Maui\"" and put them in a kennel run, that was indoor/outdoor. I left them their dog pillow and uncomfortably left.\n  \nWhen I returned to pick them up, the lady called in back and requested them picked up from Bahama's! I hope not!  When my dogs came out they were dirty and smelled horrible. The dog pillow was filthy and stunk I almost wanted to throw it in the dumpster (I wish I had during the car ride ). When I put them in the car,  my boyfriend and I gagged automatically. We had to pull over because the smell was so bad I thought I was going to puke.  :(  I washed the dogs and the pillow cover asap, but it took some scrubbing to get the grime off. \n\nI do not know what went on but I am horrified by this.  I look back on the reviews and they are mostly about the Veterinary side. My  mistake!\nI WILL NEVER TAKE THEM HERE, and I WOULD NOT RECOMMEND!"
1,"terrible service!  the only advantage of this liquor store is it's close to the strip.  I went there to buy some liquor on a friday night and after I left the store, I couldn't find my phone.  So I called my cellphone to see if it's somewhere in my car.  The phone wasn't shut off and it wasn't in my car.  So I decided to call back the liquor store.  the person said they didn't find any phone.  Then I asked if I can come back and check myself.  The person said sure but insisted they didn't find my phone there.  However, when I called my phone again right after I told them I was coming back to check, it was shut off.  I don't know if it was just a coincidence or they were scared of my phone might ring when I come back to check and call it again.  And just to be fair to them, I clearly remembered talking on the phone with one of my friends before heading over to the liquor store.  So the chance that I lost my phone in the liquor store is very highly! On top of that, the liquor is ghetto as hell and doesn't have plastic cup for customers.  What kinda of a liquor store is it if it doesn't even have cups?\nDon't go there if you don't want to lose your phone !"
1,staff is friendly enough..drs are quick and dont really listen or ask any questions... ive changed drs since my last visit and am very happy. i had an appt that i had rescheduled here and they keep sending and will not stop sending a letter asking me to pay for a missed visit when i called to cancel a week before. found a way better dr...little better to drive but at least i feel like im getting the customer service i deserve...
1,BELOW ARE SOME REASONS TO PATRONIZE THIS PIG STY:\nIf you're a tourist..go there\nIf you like bad wine..go there\nIf you have no class..go there\nIf you like rude service..go there\nIf you like wasting time..go there\nIf you like wasting money..go there\nIf you have no savoir faire..go there\nIf there's a gun at your head..go there\nIf you want to get rid of a date..go there\nIf you like imitation Italian food..go there\nIf you like crap served with a smile..go there\nIf you like crap served without a smile read more \u00bb ..go there\nIf you like crap served with weak drinks..go there\nIf you like crap served dry and tasteless..go there\nIf you don't want to impress your dinner guests..go there\nIf you want crap surrounded by all your empty dishes..go there\nIf you've been locked in a cellar and starved for years..go there\nIf you've always wanted to write a very negative review..go there\nIf you want to know the kind of slop the hoi polloi rave about..go there\nIf you're the unimaginative I love meat and potatoes slurper..go there
1,"Expensive gimmick.  Missleading website.  Wide angle lens camera makes it look big but is smaller than my kitchen.  For $25 dollars to get in, it was a real disappointment.  We felt ripped off.  Plus the free drink was absolutely aweful; it reminded me of the trash can parties we went to in college."
1,"Zoe's is probably not a place to go if you are a Vegan. Actually, it's probably not a place to go if you are a T-rex either. When it comes down to it, this chain is no better than Chik-fil-a in what it offers. At least with Chik-Fil-A I get my food quickly and a nice side of cross-cut fries.\n\nZoe's Kitchen sits across the street from My Florist which, when you really think about it, was a dumb move on corporate's part. Both look to provide healthy food options in a market of fast food and grease. The problem is that, despite My Florist's problems, it is local, more diverse, and doesn't make you feel like you are eating in an Ikea showroom.\n\nThe food is just bad. My chicken sandwich was dry. Drier than the Mohave dry. I'm trying not to dive into other forms of hyperbole but this chicken was born and raised inside a Popiel Food Dehydrator. The least they could do would be to provide me with some mayo to fix things up a bit.\n\nThere's another one of these over on Camelback, it may or may not be better, but as far as our downtown one goes, this place will never see me or my money again."
1,"The restaurant seemed nice at first appearance.  Appetizer -chicken potstickers were great.  The bowl size  wasn't too big. It was $9.99 a bowl  (dinner)and make bottom less bowl  ( repeat bowls) was another 4 dollars.  Not  a lot once cooked.  Could have cooked a little longer as broccoli was still completely hard and not even warm.   And the initial bowl is small.  For family of 4, it was expensive  for amount of food.  I was very excited for the restaurant to open up,  but overall  disappointed.  Felt like we rush thru the  entire process and  rushing us out the door.  Won't go again"
1,"I was in town for a national healthcare related conference hosted at Caesar's Palace in Las Vegas. I had never been to Las Vegas before this, nor have I ever gambled. I flew in a day early and stayed at a Marriott in Henderson. I spent the next day hiking to the Hoover Dam and some nearby mountains.\n\nI had a rental car. For a first-timer, the Strip is a little daunting. After some maneuvering, I found Caesar's Palace. I didn't know they had free valet service and wouldn't you know it, the free parking garage is a loooong walk from the check-in desk. \n\nWhen I checked in I made a grave mistake that only someone who has never been to Vegas makes. I didn't tip the registration person before I checked in. This guaranteed me the worst room available at that time. I hadn't done enough homework on the nuances of Vegas. I would be paying for my initial error many times over again during my stay.\n\nI asked if there was a cart I could use to haul my week's worth of clothing and tradeshow materials to my room. I was curtly told that wasn't possible, but I could employ a staff member to do it for me. I declined. Even though it was going to be an ordeal to carry all of it through the floor of the casino, I could physically handle it. I was in the Roman Towers. It took three trips.\n\nAfter I checked in the room, I took a shower. The room itself was a nice size. I had a view of an interior courtyard rooftop. There was no door on the bathroom. There was a handset phone next to the toilet, more antiquated than quaint.\n\nA small TV screen was next to one of the sinks. The bath tub was large and in-charge. \n\nI went downstairs and signed up to get a player's club. I also signed in on FourSquare and was given a free buffet at Lagos as a special. \n\nI told them I had never gambled before and they took their time answering my questions. You can't buy chips with a credit card, but there are ATM machines all around that take plastic. You don't even need to know your pin number (you just pay a higher fee).\nI had set my limit at $100. When I withdrew it, I got a hundred dollar bill (instead of 20s). Next to the ATM is a machine which will turn your $100 bills into smaller denominations. \n\nI found a helpful young lady at the small concession stand near the parking lot elevator who gave me a map of the facility.\n\nI had dinner at the Noodle restaurant by the lobby elevator. The d\u00e9cor is a shocking white pattern with mirrors reflecting light into your eyeballs which still maybe adjusting from the dimness of the casino floor. They had massive fish tanks filled with thousands of goldfish.\n\nThe beer that says draft on the menu is not what we in America consider a draft. It was a weak beer in a bottle and draft was the brand. The noodle dish was okay, but average isn't what I want from Vegas dining, not at the price for my dinner.\n\nAll night I was roused through vigorous banging on the hotel wall at random times. Several thumps were hard enough to shake my bed. In the morning there was no cold water in the shower. Thankfully the bathtub had a hand-held shower extension and I could bathe there. That was the only morning that the shower's cold water didn't work.\n\nI discovered my room shared a wall with the servant's elevator and work room. That is what had made the noises the night before (and every night at random times during my entire stay).\n\nI ate each morning at Lagos and each time, it was excellent (except the last day). They have two lines. If you are a diamond or seven club member, there is no waiting. Otherwise, come at the wrong time, and the line looks like a crowd waiting for a Disney ride. I arrived early enough (8AM) each day that there was no line. Typically by the time I left, folks were accumulating, much more so on the weekend.\n\nThey had wonderful lox, capers and other delights. The waitstaff, almost to a fault, was exceedingly attentive. The only negative experience was when I asked to see if my friend had arrived before I did for our meal. I was told to look from the door but was discouraged from entering to see if he was indeed there.\n\nOn our last morning, the buffet had turned from being breakfast into being a 'brunch'. What that meant for us much greater cost and almost none of the good food we'd been enjoying all week. Lox were gone, and most of the regular breakfast items were either low or out. \n\nAnother friend of mine who arrived separately was incredulous that we didn't know the tip rule. He had the same level of room reserved as we did (same conference) and tipped the front desk $50 on check-in. He was given a palatial, presidential suite. \n\nYou can smoke in Vegas casinos. I don't mind second hand smoke, so it didn't bother me.\n\nThe TV doesn't get many channels other than Caesar/Las Vegas promos/Asian ones. The internet is woeful and expensive, but I didn't expect anything else. I brought my Sprint hotspot and was getting 4G almost everywhere.\n\nThe pool is nice, but randomly, private parties bar all but diamond/7 stars."
1,"ABSOLUTELY AWFUL. This store is such a joke. I've shopped at Best Buy before... not for any major purchases, usually just for CDs or DVDs, never had any problems until now.\n\nI decided to buy a computer from them. Biggest waste of time/money. First of all, their \""computer experts\"" couldn't tell me anything about the computers that wasn't written on the little spec cards on the displays. But i had done my own research, so i thought I was making a good choice. I also bought it \""optimized\"" which is where for $39.99 they have Geek Squad go through and get rid of the programs that you dont need and do all of the updates. \n\nI got home, and right off the bat had problems with the computer. It was shutting off randomly, wasn't downloading programs correctly... pretty much just a bad product. I returned it today, which brings me to...\n\nTheir HORRENDOUS customer service. They checked over the computer and did declare that it was defective. Then they told me that they would refund my money... minus the $39.99 for the optimization, because \""labor charges are non-refundable\"". Well that's great, except for the fact that they sold me a DEFECTIVE product, AFTER I paid them extra to make sure that it wasn't defective! But they really had a hard time understanding that. I had to talk to a salesgirl and two managers, one who had to call a higher up. For $40. come on people. I think I fought with them for a half an hour. They were ridiculously rude, and really had nothing to say except \""it's our policy not to refund labor charges\"". Long story short, I eventually was reimbursed the full amount and was rid of the POS computer. \n\nLast time I EVER shop at ANY Best Buy"
1,THey are soooooo slow every time we go to the drive through window. We have decided to change pharmacies.
